fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
ff961f4c-864d-4440-a0be-389aa2ce3ed3,1602690981934,132471644153487228,1,204.86363636363637,481.40909090909093,Sample-Data.cpp,-1,-1,,,,0.0,0.0,670
82413992-dc6b-45c3-bd77-0ea6123d25a2,1602690981934,132471644161441789,2,330.795,186.35,Sample-Data.cpp,-1,-1,,,,0.0,0.0,6283
d4736b4b-8fe4-4d65-87b1-6b777645dcb2,1602690981934,132471644225214029,3,349.1145833333333,218.625,Sample-Data.cpp,3,20,,,,0.0,0.0,2992
edf07509-f08a-454d-b7f5-850f7018d0f0,1602690981934,132471644256067835,4,265.4393063583815,303.16184971098266,Sample-Data.cpp,5,6,,,,0.0,0.0,5481
08c623b9-c524-4741-8633-1483a54d0d19,1602690981934,132471644311809218,5,495.3463541666667,385.5598958333333,Sample-Data.cpp,7,17,,,,0.0,0.0,12143
121ef95e-392b-46c5-9fb9-70324a53609e,1602690981934,132471644434479464,6,397.5,425.40384615384613,Sample-Data.cpp,8,22,,,,0.0,0.0,3264
824e21bf-da7b-4f48-8e7a-17781a52fa3a,1602690981934,132471644467736372,7,285.36507936507934,548.936507936508,Sample-Data.cpp,12,16,,,,0.0,0.0,3950
0dfa6738-9b06-4409-ac93-fd1fcd7cd0de,1602690981934,132471644507865206,8,305.0263157894737,491.8421052631579,Sample-Data.cpp,13,9,,,,0.0,0.0,1180
25b47ce5-6bd4-43d4-8c4e-1e9798d5ba51,1602690981934,132471644520295000,9,560.1235294117647,494.5705882352941,Sample-Data.cpp,13,34,,,,0.0,0.0,5473
002a40b9-8aa4-408f-a293-bcd0eebf35cf,1602690981934,132471644576616102,10,132.5,523.5,Sample-Data.cpp,-1,-1,,,,0.0,0.0,156
ba8ce2ee-41c8-4f9e-b162-90d950c489e0,1602690981934,132471644578803953,11,347.0,531.828947368421,Sample-Data.cpp,14,8,,,,0.0,0.0,2370
ebc97120-29d7-45f2-80c1-0df721fc1540,1602690981934,132471644603746984,12,418.22748815165875,654.5710900473933,Sample-Data.cpp,-1,-1,,,,0.0,0.0,13310
04bdbf79-08c7-4376-bbea-fa8d4e4372f9,1602690981934,132471644737793409,13,399.65656565656565,532.040404040404,Sample-Data.cpp,23,19,,,,0.0,0.0,3124
23ff778b-3fe5-4698-8d05-196df70cccec,1602690981934,132471644769963893,14,468.4947368421053,612.0684210526316,Sample-Data.cpp,25,28,,,,0.0,0.0,5946
7f6f1264-9ef5-4c0b-a7f5-b747e25d3229,1602690981934,132471644830358712,15,278.2083333333333,615.2291666666666,Sample-Data.cpp,25,13,,,,0.0,0.0,1519
29114f19-d170-401e-aead-8b4f7bde2c1c,1602690981934,132471644846169286,16,548.7037037037037,602.6851851851852,Sample-Data.cpp,25,29,,,,0.0,0.0,1674
078fa378-bb95-44b1-a491-0ad3f25f694c,1602690981934,132471644863538170,17,522.1742857142857,599.7685714285715,Sample-Data.cpp,29,34,,,,0.0,0.0,11025
72e67d61-3689-4002-b408-d01e2670111c,1602690981934,132471644975045575,18,496.87007874015745,663.1614173228346,Sample-Data.cpp,31,17,,,,0.0,0.0,8070
b3c781f5-c273-473c-b730-67514e58ba90,1602690981934,132471645056687185,19,631.5188679245283,773.7405660377359,Sample-Data.cpp,38,37,,,,0.0,0.0,6667
fb3242e4-7bc6-4098-8ebc-1157ea6d3048,1602690981934,132471645125552941,20,359.5416666666667,336.3541666666667,Sample-Data.cpp,20,13,,,,0.0,0.0,1483
8623a14a-d4a4-4503-983c-a8e9cb4f0e22,1602690982244,132471645208935249,1,815.2363636363636,310.25454545454545,Sample-Data.cpp,20,43,,,,0.0,0.0,1731
142eb902-0ae0-4f52-af86-e094ffab8505,1602690982244,132471645227177602,2,472.86607142857144,375.8392857142857,Sample-Data.cpp,21,17,,,,0.0,0.0,3534
c91ca150-1324-410c-a7b0-13271373e11c,1602690982244,132471645263780061,3,459.7986577181208,436.8724832214765,Sample-Data.cpp,23,27,,,,0.0,0.0,4699
808b0916-f8e2-4d32-9605-5850377f91da,1602690982244,132471645311709101,4,445.08849557522126,425.716814159292,Sample-Data.cpp,-1,-1,,,,0.0,0.0,3584
704b61dc-afec-435c-820a-b95bbd6e7d5a,1602690982244,132471645348171762,5,510.64957264957263,503.04273504273505,Sample-Data.cpp,-1,-1,,,,0.0,0.0,3711
08bcecac-2bb0-4640-bd47-1edbf925f9c6,1602690982244,132471645386550857,6,356.14285714285717,514.2380952380952,Sample-Data.cpp,29,17,,,,0.0,0.0,619
f7360ea7-62cb-49bf-ad2d-7cfd6c8feb55,1602690982244,132471645393681470,7,687.9556962025316,495.25949367088606,Sample-Data.cpp,29,34,,,,0.0,0.0,4958
27e875ef-b7f9-407b-8fdc-8dbc8a95269d,1602690982523,132471645508873301,1,474.625,409.7916666666667,Sample-Data.cpp,27,22,,,,0.0,0.0,721
2b0f24c8-20cf-425d-bb8e-5fd4a2bd3b29,1602690982722,132471645560355095,1,708.4375,500.375,Sample-Data.cpp,29,36,,,,0.0,0.0,973
fb8e296a-d70c-49f1-994b-53a2ee64de8a,1602690982928,132471645609557707,1,835.8551724137931,585.3724137931034,Sample-Data.cpp,31,45,,,,0.0,0.0,4616
439ba3c9-265b-44e0-a7a8-320ffc9eea88,1602690982928,132471645657737112,2,798.2352941176471,1068.3823529411766,Sample-Data.cpp,-1,-1,,,,0.0,0.0,1062
80fc9d26-41e6-420e-83ef-86f862c87b79,1602690982928,132471645670235244,3,638.1428571428571,479.2857142857143,Sample-Data.cpp,-1,-1,,,,0.0,0.0,189
